Id;Codigo;Nombre Paises;Status
1;13;AFGANISTAN;1
2;17;ALBANIA;1
3;23;ALEMANIA;1
4;26;ARMENIA;1
5;27;ARUBA;1
6;29;BOSNIA-HERZEGOVINA;1
7;31;BURKINA FASSO;1
8;37;ANDORRA;1
9;40;ANGOLA;1
10;41;ANGUILLA;1
11;43;ANTIGUA Y BARBUDA;1
12;47;ANTILLAS HOLANDESAS;1
13;53;ARABIA SAUDITA;1
14;59;ARGELIA;1
15;63;ARGENTINA;1
16;69;AUSTRALIA;1
17;72;AUSTRIA;1
18;74;AZERBAIJAN;1
19;77;BAHAMAS;1
20;80;BAHREIN;1
21;81;BANGLADESH;1
22;83;BARBADOS;1
23;87;BELGICA;1
24;88;BELICE;1
25;90;BERMUDAS;1
26;91;BELARUS;1
27;93;BIRMANIA (MYANMAR);1
28;97;BOLIVIA;1
29;101;BOTSWANA;1
30;105;BRASIL;1
31;108;BRUNEI DARUSSALAM;1
32;111;BULGARIA;1
33;115;BURUNDI;1
34;119;BUTAN;1
35;127;CABO VERDE;1
36;137;CAIMAN, ISLAS;1
37;141;CAMBOYA (KAMPUCHEA);1
38;145;CAMERUN, REPUBLICA UNIDA DEL;1
39;149;CANADA;1
40;159;SANTA SEDE;1
41;165;COCOS (KEELING), ISLAS;1
42;169;COLOMBIA;1
43;173;COMORAS;1
44;177;CONGO;1
45;183;COOK, ISLAS;1
46;187;COREA (NORTE), REPUBLICA POPULAR DEMOCRATICA DE;1
47;190;COREA (SUR), REPUBLICA DE;1
48;193;COSTA DE MARFIL;1
49;196;COSTA RICA;1
50;198;CROACIA;1
51;199;CUBA;1
52;203;CHAD;1
53;211;CHILE;1
54;215;CHINA;1
55;218;TAIWAN (FORMOSA);1
56;221;CHIPRE;1
57;229;BENIN;1
58;232;DINAMARCA;1
59;235;DOMINICA;1
60;239;ECUADOR;1
61;240;EGIPTO;1
62;242;EL SALVADOR;1
63;243;ERITREA;1
64;244;EMIRATOS ARABES UNIDOS;1
65;245;ESPA¥A;1
66;246;ESLOVAQUIA;1
67;247;ESLOVENIA;1
68;249;ESTADOS UNIDOS;1
69;251;ESTONIA;1
70;253;ETIOPIA;1
71;259;FEROE, ISLAS;1
72;267;FILIPINAS;1
73;271;FINLANDIA;1
74;275;FRANCIA;1
75;281;GABON;1
76;285;GAMBIA;1
77;287;GEORGIA;1
78;289;GHANA;1
79;293;GIBRALTAR;1
80;297;GRANADA;1
81;301;GRECIA;1
82;305;GROENLANDIA;1
83;309;GUADALUPE;1
84;313;GUAM;1
85;317;GUATEMALA;1
86;325;GUAYANA FRANCESA;1
87;329;GUINEA;1
88;331;GUINEA ECUATORIAL;1
89;334;GUINEA-BISSAU;1
90;337;GUYANA;1
91;341;HAITI;1
92;345;HONDURAS;1
93;351;HONG KONG;1
94;355;HUNGRIA;1
